date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/12,2317,港商野村,1560,662,9,653,2.2,1,buy
12/12,2317,富邦證券,9600,428,2133,-1705,5.74,1,sell
12/12,2317,國泰證券,8880,621,49,572,1.93,2,buy
12/12,2317,統一,5850,305,1761,-1456,4.9,2,sell
12/12,2317,永豐金證券,0039004100300030,750,306,444,1.5,3,buy
12/12,2317,台灣摩根士丹利,1470,478,1821,-1343,4.52,3,sell
12/12,2317,美商高盛,1480,2468,2031,437,1.47,4,buy
12/12,2317,凱基-中山,9229,36,1124,-1088,3.67,4,sell
12/12,2317,元大-頭份,0039003800330055,415,23,392,1.32,5,buy
12/12,2317,永豐金-匯立,0039004100380031,21,615,-594,2.0,5,sell
12/12,2317,新加坡商瑞銀,1650,1668,1372,296,1.0,6,buy
12/12,2317,玉山證券,8840,43,576,-533,1.8,6,sell
12/12,2317,台新證券,8150,504,226,278,0.94,7,buy
12/12,2317,香港上海匯豐,8960,489,986,-497,1.67,7,sell
12/12,2317,凱基-台北,9268,1077,806,271,0.91,8,buy
12/12,2317,元大證券,9800,717,994,-277,0.93,8,sell
12/12,2317,元大-土城,9897,216,6,210,0.71,9,buy
12/12,2317,第一金-高雄,5383,16,272,-256,0.86,9,sell
12/12,2317,大和國泰,8890,220,22,198,0.67,10,buy
12/12,2317,群益金鼎-台中,9184,17,202,-185,0.62,10,sell
12/12,2317,凱基,9200,722,529,193,0.65,11,buy
12/12,2317,國票證券,7790,29,206,-177,0.6,11,sell
12/12,2317,美林,1440,1499,1313,186,0.63,12,buy
12/12,2317,國票-敦北法人,0037003700390063,7,111,-104,0.35,12,sell
12/12,2317,花旗環球,1590,216,54,162,0.55,13,buy
12/12,2317,亞東-板橋,2181,13,103,-90,0.3,13,sell
12/12,2317,元大-樹林,003900380039006a,161,10,151,0.51,14,buy
12/12,2317,亞東,2180,19,108,-89,0.3,14,sell
12/12,2317,國票-南科,0037003700390065,155,20,135,0.45,15,buy
12/12,2317,合庫-台中,1021,36,117,-81,0.27,15,sell
12/12,2454,凱基,9200,244,32,212,3.92,1,buy
