date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/30,0050,凱基-台北,9268,21209,1121,20088,23.22,1,buy
12/30,0050,凱基-雙和,0039003200300043,107,4665,-4558,5.27,1,sell
12/30,0050,元大證券,9800,13604,4275,9329,10.78,2,buy
12/30,0050,國泰-敦南,8888,1744,4742,-2998,3.47,2,sell
12/30,0050,永豐金證券,0039004100300030,7349,1327,6022,6.96,3,buy
12/30,0050,群益金鼎,9100,159,1393,-1234,1.43,3,sell
12/30,0050,富邦證券,9600,4063,1031,3032,3.5,4,buy
12/30,0050,元大-館前,003900380034004b,109,753,-644,0.74,4,sell
12/30,0050,國泰證券,8880,1872,76,1796,2.08,5,buy
12/30,0050,兆豐證券,7000,284,764,-480,0.55,5,sell
12/30,0050,新加坡商瑞銀,1650,899,80,819,0.95,6,buy
12/30,0050,玉山-台中,0038003800340042,74,550,-476,0.55,6,sell
12/30,0050,臺銀,1040,614,254,360,0.42,7,buy
12/30,0050,國泰-台中,8882,305,767,-462,0.53,7,sell
12/30,0050,亞東-高雄,2186,304,8,296,0.34,8,buy
12/30,0050,台新證券,8150,558,930,-372,0.43,8,sell
12/30,0050,凱基,9200,290,4,286,0.33,9,buy
12/30,0050,玉山證券,8840,191,562,-371,0.43,9,sell
12/30,0050,第一金,5380,291,90,201,0.23,10,buy
12/30,0050,國泰-桃園,8885,166,505,-339,0.39,10,sell
12/30,0050,富邦-彰化,0039003600350055,214,28,186,0.22,11,buy
12/30,0050,元大-中壢,9834,104,439,-335,0.39,11,sell
12/30,0050,統一,5850,711,527,184,0.21,12,buy
12/30,0050,新光-高雄,8562,80,395,-315,0.36,12,sell
12/30,0050,新百王,6210,218,37,181,0.21,13,buy
12/30,0050,元大-文心興安,9854,22,312,-290,0.34,13,sell
12/30,0050,華南永昌,9300,367,198,169,0.2,14,buy
12/30,0050,統一-高雄,5851,14,302,-288,0.33,14,sell
12/30,0050,富邦-高雄,9659,295,170,125,0.14,15,buy
12/30,0050,凱基-湖口,003900320030004e,9,282,-273,0.32,15,sell
12/30,0051,元大證券,9800,17,1,16,36.36,1,buy
12/30,0051,元大-板橋三民,9879,0,9,-9,20.45,1,sell
12/30,0051,群益金鼎-敦南,9101,3,0,3,6.82,2,buy
12/30,0051,國泰-松江,8883,0,5,-5,11.36,2,sell
12/30,0051,國泰證券,8880,2,0,2,4.55,3,buy
12/30,0051,中國信託-新竹,6165,0,4,-4,9.09,3,sell
12/30,0051,永豐金證券,0039004100300030,2,0,2,4.55,4,buy
12/30,0051,統一-松江,003500380035005a,0,3,-3,6.82,4,sell
12/30,0051,兆豐證券,7000,2,0,2,4.55,5,buy
12/30,0051,元大-天母,0039003800310049,0,3,-3,6.82,5,sell
12/30,0051,中國信託,6160,1,0,1,2.27,6,buy
12/30,0051,元富-城中,0035003900320045,0,2,-2,4.55,6,sell
12/30,0051,台新-左楠,8157,1,0,1,2.27,7,buy
12/30,0051,元大-松山,0039003800310070,0,1,-1,2.27,7,sell
12/30,0051,群益金鼎-天母,0039003100380050,1,0,1,2.27,8,buy
12/30,0051,臺銀,1040,1,2,-1,2.27,8,sell
12/30,0051,富邦-台北,9623,1,0,1,2.27,9,buy
12/30,0051,彰銀-台中,1233,0,1,-1,2.27,9,sell
12/30,0051,國泰-敦南,8888,1,0,1,2.27,10,buy
12/30,0051,玉山-台南,8847,0,1,-1,2.27,10,sell
12/30,0051,國泰-台中,8882,3,2,1,2.27,11,buy
12/30,0051,永豐金-敦北,0039004100380039,0,1,-1,2.27,11,sell
12/30,0051,凱基,9200,1,0,1,2.27,12,buy
12/30,0051,元大-三民,0039003800390046,0,1,-1,2.27,12,sell
12/30,0051,國票-安和,003700370039005a,1,0,1,2.27,13,buy
12/30,0051,凱基-台南,9211,1,1,0,0.0,13,sell
12/30,0051,新光,8560,0,0,0,0.0,14,buy
12/30,0051,元大-斗六,0039003800300043,0,0,0,0.0,14,sell
12/30,0051,土銀,1030,0,0,0,0.0,15,buy
12/30,0051,玉山-桃園,0038003800340046,0,0,0,0.0,15,sell
12/30,0052,凱基-台北,9268,8666,847,7819,22.27,1,buy
12/30,0052,國泰-敦南,8888,783,1674,-891,2.54,1,sell
12/30,0052,群益金鼎-敦南,9101,1637,15,1622,4.62,2,buy
12/30,0052,永豐金證券,0039004100300030,207,1021,-814,2.32,2,sell
12/30,0052,元大證券,9800,4078,2629,1449,4.13,3,buy
12/30,0052,富邦-頭份,0039003600320050,27,694,-667,1.9,3,sell
12/30,0052,中國信託,6160,1387,660,727,2.07,4,buy
12/30,0052,國泰-板橋,003800380038004b,97,407,-310,0.88,4,sell
12/30,0052,元富,5920,992,286,706,2.01,5,buy
12/30,0052,華南永昌-鳳山,9331,12,309,-297,0.85,5,sell
12/30,0052,玉山證券,8840,463,123,340,0.97,6,buy
12/30,0052,玉山-城中,0038003800340045,17,310,-293,0.83,6,sell
12/30,0052,富邦證券,9600,373,75,298,0.85,7,buy
12/30,0052,富邦-板橋,9655,153,378,-225,0.64,7,sell
12/30,0052,元大-板橋,0039003800390043,330,46,284,0.81,8,buy
12/30,0052,元大-大安,003900380033004e,0,205,-205,0.58,8,sell
12/30,0052,合庫證券,1020,260,47,213,0.61,9,buy
12/30,0052,新光-高雄,8562,8,210,-202,0.58,9,sell
12/30,0052,凱基-鳳山,9274,210,10,200,0.57,10,buy
12/30,0052,高橋,5320,30,232,-202,0.58,10,sell
12/30,0052,大昌-新店,6464,231,56,175,0.5,11,buy
12/30,0052,第一金-中壢,0035003300380059,54,246,-192,0.55,11,sell
12/30,0052,元大-大天母,9893,178,9,169,0.48,12,buy
12/30,0052,富邦-中壢,9636,67,235,-168,0.48,12,sell
12/30,0052,元富-三重,5923,166,19,147,0.42,13,buy
12/30,0052,國泰-忠孝,8887,72,231,-159,0.45,13,sell
12/30,0052,華南永昌-虎尾,9377,179,38,141,0.4,14,buy
12/30,0052,國泰-高雄,8881,76,236,-160,0.46,14,sell
12/30,0052,國泰證券,8880,130,14,116,0.33,15,buy
12/30,0052,國泰-桃園,8885,56,214,-158,0.45,15,sell
12/30,0053,元大證券,9800,12,0,12,40.0,1,buy
12/30,0053,永豐金-竹北,0039004100390050,0,5,-5,16.67,1,sell
12/30,0053,中國信託,6160,2,0,2,6.67,2,buy
12/30,0053,元大-潮州,003900380031005a,0,2,-2,6.67,2,sell
12/30,0053,元大-竹科,003900380030004b,1,0,1,3.33,3,buy
12/30,0053,元大-忠孝,9871,0,2,-2,6.67,3,sell
12/30,0053,兆豐證券,7000,1,0,1,3.33,4,buy
12/30,0053,國泰-敦南,8888,0,1,-1,3.33,4,sell
12/30,0053,元富-城中,0035003900320045,1,0,1,3.33,5,buy
12/30,0053,第一金-嘉義,003500330038004d,0,1,-1,3.33,5,sell
12/30,0053,群益金鼎-天母,0039003100380050,1,0,1,3.33,6,buy
12/30,0053,臺銀-高雄,0031003000340043,0,1,-1,3.33,6,sell
12/30,0053,凱基-中壢,9285,1,0,1,3.33,7,buy
12/30,0053,凱基-信義,9216,0,1,-1,3.33,7,sell
12/30,0053,富邦-竹科,0039003600320043,1,0,1,3.33,8,buy
12/30,0053,華南永昌,9300,0,1,-1,3.33,8,sell
12/30,0053,群益金鼎-屏東,0039003100330048,1,0,1,3.33,9,buy
12/30,0053,富邦-內湖,9627,0,1,-1,3.33,9,sell
12/30,0053,康和-板橋,0038003400350044,0,0,0,0.0,10,buy
12/30,0053,富邦-羅東,9634,0,1,-1,3.33,10,sell
12/30,0053,國泰證券,8880,1,1,0,0.0,11,buy
12/30,0053,富邦-仁愛,9676,0,1,-1,3.33,11,sell
12/30,0053,國泰-館前,0038003800380041,2,2,0,0.0,12,buy
12/30,0053,元大-新盛,9869,1,2,-1,3.33,12,sell
12/30,0053,元富-成功,003500390032006d,0,0,0,0.0,13,buy
12/30,0053,元大-基隆孝二,003900380036004b,0,1,-1,3.33,13,sell
12/30,0053,國泰-松江,8883,0,0,0,0.0,14,buy
12/30,0053,永豐金-竹科,0039004100390058,0,1,-1,3.33,14,sell
12/30,0053,凱基,9200,0,0,0,0.0,15,buy
12/30,0053,兆豐-東門,0037003000300048,0,0,0,0.0,15,sell
12/30,0055,元大證券,9800,82,2,80,33.2,1,buy
12/30,0055,新光-台中,8561,0,50,-50,20.75,1,sell
12/30,0055,國泰-台中,8882,40,1,39,16.18,2,buy
12/30,0055,富邦-建國,9658,0,29,-29,12.03,2,sell
12/30,0055,凱基-台北,9268,29,7,22,9.13,3,buy
12/30,0055,統一-員林,0035003800350049,0,24,-24,9.96,3,sell
12/30,0055,新光,8560,19,0,19,7.88,4,buy
12/30,0055,元大-苑裡,0039003800390061,0,22,-22,9.13,4,sell
12/30,0055,富邦-台北,9623,12,0,12,4.98,5,buy
12/30,0055,兆豐-來福,0037003000300043,0,13,-13,5.39,5,sell
12/30,0055,光和-田中,6382,5,0,5,2.07,6,buy
12/30,0055,富邦-陽明,9604,0,12,-12,4.98,6,sell
12/30,0055,永豐金證券,0039004100300030,5,0,5,2.07,7,buy
12/30,0055,中國信託,6160,3,11,-8,3.32,7,sell
12/30,0055,富邦-永和,9654,4,0,4,1.66,8,buy
12/30,0055,元富-屏東,0035003900320071,0,5,-5,2.07,8,sell
12/30,0055,富邦-宜蘭,9686,4,0,4,1.66,9,buy
12/30,0055,亞東-台中,2187,0,5,-5,2.07,9,sell
12/30,0055,元大-斗六,0039003800300043,3,0,3,1.24,10,buy
12/30,0055,元大-士林,003900380031006a,0,5,-5,2.07,10,sell
12/30,0055,富邦-高雄,9659,3,0,3,1.24,11,buy
12/30,0055,元大-蘆洲,9857,0,5,-5,2.07,11,sell
12/30,0055,國泰證券,8880,2,0,2,0.83,12,buy
12/30,0055,元大-太平,0039003800310051,0,4,-4,1.66,12,sell
12/30,0055,兆豐證券,7000,2,0,2,0.83,13,buy
12/30,0055,富邦-仁愛,9676,0,4,-4,1.66,13,sell
12/30,0055,凱基-站前,0039003200300046,2,0,2,0.83,14,buy
12/30,0055,元大-仁愛,003900380033006a,0,4,-4,1.66,14,sell
12/30,0055,富邦-台中,003900360035004b,1,0,1,0.41,15,buy
12/30,0055,富邦-中壢,9636,0,2,-2,0.83,15,sell
12/30,0056,凱基-台北,9268,8810,1099,7711,21.58,1,buy
12/30,0056,中國信託,6160,534,1551,-1017,2.85,1,sell
12/30,0056,元大證券,9800,1063,15,1048,2.93,2,buy
12/30,0056,國泰-敦南,8888,764,1582,-818,2.29,2,sell
12/30,0056,玉山-新莊,8842,873,88,785,2.2,3,buy
12/30,0056,元富-高雄,5921,33,457,-424,1.19,3,sell
12/30,0056,國泰證券,8880,493,10,483,1.35,4,buy
12/30,0056,元富-埔里,0035003900320059,3,416,-413,1.16,4,sell
12/30,0056,富邦證券,9600,461,43,418,1.17,5,buy
12/30,0056,凱基-三多,9275,0,363,-363,1.02,5,sell
12/30,0056,兆豐-台南,7006,409,49,360,1.01,6,buy
12/30,0056,富邦-高雄,9659,43,367,-324,0.91,6,sell
12/30,0056,兆豐-三民,0037003000300068,353,25,328,0.92,7,buy
