date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/07,0050,凱基,9200,10922,36,10886,8.36,1,buy
1/07,0050,凱基-台北,9268,3535,27666,-24131,18.54,1,sell
1/07,0050,元大證券,9800,25426,19902,5524,4.24,2,buy
1/07,0050,永豐金證券,0039004100300030,6085,17281,-11196,8.6,2,sell
1/07,0050,國泰證券,8880,5270,127,5143,3.95,3,buy
1/07,0050,摩根大通,8440,0,2730,-2730,2.1,3,sell
1/07,0050,統一,5850,1832,219,1613,1.24,4,buy
1/07,0050,臺銀,1040,482,1314,-832,0.64,4,sell
1/07,0050,土銀,1030,1386,43,1343,1.03,5,buy
1/07,0050,台灣摩根士丹利,1470,0,591,-591,0.45,5,sell
1/07,0050,美林,1440,1283,5,1278,0.98,6,buy
1/07,0050,玉山-左營,0038003800340044,105,525,-420,0.32,6,sell
1/07,0050,富邦證券,9600,6580,5544,1036,0.8,7,buy
1/07,0050,法銀巴黎,8900,13,430,-417,0.32,7,sell
1/07,0050,台新證券,8150,1537,746,791,0.61,8,buy
1/07,0050,兆豐證券,7000,41,330,-289,0.22,8,sell
1/07,0050,元富,5920,1040,281,759,0.58,9,buy
1/07,0050,中國信託,6160,3995,4272,-277,0.21,9,sell
1/07,0050,元大-基隆孝二,003900380036004b,625,59,566,0.43,10,buy
1/07,0050,凱基-湖口,003900320030004e,47,296,-249,0.19,10,sell
1/07,0050,永豐金-三重,003900410039004b,558,11,547,0.42,11,buy
1/07,0050,統一-敦南,5852,25,266,-241,0.19,11,sell
1/07,0050,群益金鼎,9100,620,135,485,0.37,12,buy
1/07,0050,新光-新竹,8563,151,371,-220,0.17,12,sell
1/07,0050,國泰-敦南,8888,3919,3467,452,0.35,13,buy
1/07,0050,群益金鼎-東大,9135,56,267,-211,0.16,13,sell
1/07,0050,華南永昌,9300,585,222,363,0.28,14,buy
1/07,0050,元富-虎尾,003500390032004e,19,225,-206,0.16,14,sell
1/07,0050,玉山證券,8840,677,348,329,0.25,15,buy
1/07,0050,永豐金-古亭,0039004100390064,52,242,-190,0.15,15,sell
1/07,0051,元大證券,9800,52,8,44,36.07,1,buy
1/07,0051,華南永昌-岡山,9324,2,17,-15,12.3,1,sell
1/07,0051,永豐金-羅東,0039004100390041,11,0,11,9.02,2,buy
1/07,0051,國泰-敦南,8888,0,9,-9,7.38,2,sell
1/07,0051,新光-新竹,8563,5,0,5,4.1,3,buy
1/07,0051,元富,5920,0,8,-8,6.56,3,sell
1/07,0051,國泰證券,8880,4,0,4,3.28,4,buy
1/07,0051,康和-嘉義,8459,0,5,-5,4.1,4,sell
1/07,0051,富邦證券,9600,9,5,4,3.28,5,buy
1/07,0051,元大-忠孝,9871,0,5,-5,4.1,5,sell
1/07,0051,永豐金證券,0039004100300030,6,2,4,3.28,6,buy
1/07,0051,合庫-高雄,1023,0,3,-3,2.46,6,sell
1/07,0051,國泰-台中,8882,7,4,3,2.46,7,buy
1/07,0051,中國信託,6160,1,4,-3,2.46,7,sell
1/07,0051,土銀,1030,2,0,2,1.64,8,buy
1/07,0051,臺銀,1040,0,3,-3,2.46,8,sell
1/07,0051,元大-學甲,003900380033004b,2,0,2,1.64,9,buy
1/07,0051,台灣企銀-竹北,1117,0,2,-2,1.64,9,sell
1/07,0051,元大-淡水,9899,1,0,1,0.82,10,buy
1/07,0051,統一,5850,0,2,-2,1.64,10,sell
1/07,0051,中國信託-嘉義,6168,1,0,1,0.82,11,buy
1/07,0051,兆豐-三民,0037003000300068,0,2,-2,1.64,11,sell
1/07,0051,康和-石牌,0038003400350052,1,0,1,0.82,12,buy
1/07,0051,台新證券,8150,1,3,-2,1.64,12,sell
1/07,0051,國泰-桃園,8885,1,0,1,0.82,13,buy
1/07,0051,台新-建北,8151,0,2,-2,1.64,13,sell
1/07,0051,凱基-台北,9268,1,0,1,0.82,14,buy
1/07,0051,富邦-嘉義,9692,0,2,-2,1.64,14,sell
1/07,0051,華南永昌-楠梓,9332,1,0,1,0.82,15,buy
1/07,0051,元大-新營,9825,0,2,-2,1.64,15,sell
1/07,0052,凱基,9200,3921,0,3921,5.08,1,buy
1/07,0052,元大證券,9800,3802,21807,-18005,23.34,1,sell
