date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/24,0050,永豐金證券,0039004100300030,28571,4604,23967,23.53,1,buy
12/24,0050,凱基,9200,1678,19952,-18274,17.94,1,sell
12/24,0050,凱基-台北,9268,22440,698,21742,21.34,2,buy
12/24,0050,元大證券,9800,13289,24645,-11356,11.15,2,sell
12/24,0050,國泰證券,8880,8515,1420,7095,6.96,3,buy
12/24,0050,國泰-敦南,8888,1275,2448,-1173,1.15,3,sell
12/24,0050,台新證券,8150,1306,467,839,0.82,4,buy
12/24,0050,富邦證券,9600,3932,5039,-1107,1.09,4,sell
12/24,0050,第一金-光復,0035003300380043,508,17,491,0.48,5,buy
12/24,0050,華南永昌,9300,81,1127,-1046,1.03,5,sell
12/24,0050,永豐金-內湖,0039004100390067,410,63,347,0.34,6,buy
12/24,0050,第一金,5380,228,1082,-854,0.84,6,sell
12/24,0050,元富,5920,445,216,229,0.22,7,buy
12/24,0050,元富-城東,0035003900320072,11,839,-828,0.81,7,sell
12/24,0050,元大-忠孝,9871,252,44,208,0.2,8,buy
12/24,0050,新光,8560,487,966,-479,0.47,8,sell
12/24,0050,富邦-彰化,0039003600350055,153,33,120,0.12,9,buy
12/24,0050,群益金鼎,9100,106,540,-434,0.43,9,sell
12/24,0050,台新-高雄,0038003100350041,228,119,109,0.11,10,buy
12/24,0050,富邦-台北,9623,190,608,-418,0.41,10,sell
12/24,0050,元富-佳里,0035003900320077,120,14,106,0.1,11,buy
12/24,0050,國泰-台南,8884,80,497,-417,0.41,11,sell
12/24,0050,統一,5850,765,666,99,0.1,12,buy
12/24,0050,合庫證券,1020,559,954,-395,0.39,12,sell
12/24,0050,永豐金-市政,0039004100390057,198,126,72,0.07,13,buy
12/24,0050,福邦證券,6480,1,350,-349,0.34,13,sell
12/24,0050,合庫-桃園,0031003000320045,104,36,68,0.07,14,buy
12/24,0050,國泰-板橋,003800380038004b,154,443,-289,0.28,14,sell
12/24,0050,玉山-雙和,8841,86,20,66,0.06,15,buy
12/24,0050,國泰-桃園,8885,117,400,-283,0.28,15,sell
12/24,0051,元富,5920,44,0,44,40.0,1,buy
12/24,0051,元大證券,9800,1,61,-60,54.55,1,sell
12/24,0051,國泰-敦南,8888,14,1,13,11.82,2,buy
12/24,0051,中國信託,6160,1,21,-20,18.18,2,sell
12/24,0051,國泰-忠孝,8887,6,1,5,4.55,3,buy
