date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/31,0050,永豐金證券,0039004100300030,11972,2264,9708,13.51,1,buy
12/31,0050,中國信託,6160,560,4193,-3633,5.06,1,sell
12/31,0050,富邦證券,9600,9627,2188,7439,10.35,2,buy
12/31,0050,國泰-敦南,8888,2045,3012,-967,1.35,2,sell
12/31,0050,元大證券,9800,12029,9821,2208,3.07,3,buy
12/31,0050,群益金鼎,9100,91,1001,-910,1.27,3,sell
12/31,0050,亞東-高雄,2186,377,0,377,0.52,4,buy
12/31,0050,元富-虎尾,003500390032004e,18,901,-883,1.23,4,sell
12/31,0050,元大-大甲,0039003800390055,377,27,350,0.49,5,buy
12/31,0050,新光-台中,8561,114,798,-684,0.95,5,sell
12/31,0050,凱基-站前,0039003200300046,365,77,288,0.4,6,buy
12/31,0050,合庫證券,1020,48,617,-569,0.79,6,sell
12/31,0050,凱基-台北,9268,2926,2660,266,0.37,7,buy
12/31,0050,國泰-台中,8882,228,589,-361,0.5,7,sell
12/31,0050,玉山證券,8840,363,140,223,0.31,8,buy
12/31,0050,元大-館前,003900380034004b,27,332,-305,0.42,8,sell
12/31,0050,台灣企銀-岡山,1119,202,9,193,0.27,9,buy
12/31,0050,兆豐-埔墘,003700300030004e,9,291,-282,0.39,9,sell
12/31,0050,摩根大通,8440,153,0,153,0.21,10,buy
12/31,0050,元富-林園,5927,14,285,-271,0.38,10,sell
12/31,0050,彰銀,1230,133,7,126,0.18,11,buy
12/31,0050,富邦-三峽,003900360032004a,12,248,-236,0.33,11,sell
12/31,0050,玉山-新莊,8842,166,49,117,0.16,12,buy
12/31,0050,華南永昌,9300,96,328,-232,0.32,12,sell
12/31,0050,富邦-台中,003900360035004b,211,105,106,0.15,13,buy
12/31,0050,元富,5920,331,559,-228,0.32,13,sell
12/31,0050,群益金鼎-中山,0039003100380048,121,17,104,0.14,14,buy
12/31,0050,玉山-嘉義,8848,175,393,-218,0.3,14,sell
12/31,0050,富邦-新竹,9647,417,314,103,0.14,15,buy
12/31,0050,玉山-台中,0038003800340042,85,295,-210,0.29,15,sell
12/31,0051,元大證券,9800,59,0,59,70.24,1,buy
12/31,0051,玉山證券,8840,0,50,-50,59.52,1,sell
12/31,0051,兆豐-三民,0037003000300068,4,0,4,4.76,2,buy
12/31,0051,國泰-敦南,8888,0,6,-6,7.14,2,sell
12/31,0051,國泰-台中,8882,2,0,2,2.38,3,buy
12/31,0051,元大-台南,9896,0,5,-5,5.95,3,sell
12/31,0051,華南永昌-台中,9302,2,0,2,2.38,4,buy
12/31,0051,凱基-竹科,9272,0,3,-3,3.57,4,sell
12/31,0051,永豐金-高雄,0039004100390065,2,0,2,2.38,5,buy
12/31,0051,國泰-台南,8884,0,1,-1,1.19,5,sell
12/31,0051,永豐金證券,0039004100300030,2,0,2,2.38,6,buy
12/31,0051,國泰-桃園,8885,0,1,-1,1.19,6,sell
12/31,0051,群益金鼎-館前,0039003100330059,1,0,1,1.19,7,buy
12/31,0051,中國信託-高雄,003600310036004b,0,1,-1,1.19,7,sell
12/31,0051,富邦-七賢,003900360031004b,1,0,1,1.19,8,buy
12/31,0051,兆豐證券,7000,0,1,-1,1.19,8,sell
12/31,0051,富邦-新店,9661,1,0,1,1.19,9,buy
12/31,0051,土銀,1030,0,1,-1,1.19,9,sell
12/31,0051,元大-桃園,0039003800380042,1,0,1,1.19,10,buy
12/31,0051,中國信託-松江,6167,0,1,-1,1.19,10,sell
12/31,0051,國泰-松江,8883,1,0,1,1.19,11,buy
12/31,0051,中國信託,6160,0,1,-1,1.19,11,sell
12/31,0051,國泰-新竹,003800380038004e,1,0,1,1.19,12,buy
12/31,0051,玉山-嘉義,8848,0,1,-1,1.19,12,sell
12/31,0051,臺銀,1040,0,0,0,0.0,13,buy
12/31,0051,凱基-彰化,0039003200300047,0,1,-1,1.19,13,sell
12/31,0051,凱基-湖口,003900320030004e,0,0,0,0.0,14,buy
12/31,0051,凱基-台南,9211,0,1,-1,1.19,14,sell
12/31,0051,元大-汐止,0039003800390051,0,0,0,0.0,15,buy
12/31,0051,凱基-台北,9268,0,1,-1,1.19,15,sell
12/31,0052,凱基,9200,5055,0,5055,8.1,1,buy
12/31,0052,元大證券,9800,983,15405,-14422,23.1,1,sell
12/31,0052,華南永昌,9300,3776,48,3728,5.97,2,buy
12/31,0052,凱基-台北,9268,2738,6896,-4158,6.66,2,sell
12/31,0052,永豐金證券,0039004100300030,3944,623,3321,5.32,3,buy
12/31,0052,中國信託,6160,263,4384,-4121,6.6,3,sell
12/31,0052,玉山證券,8840,2106,192,1914,3.07,4,buy
12/31,0052,元大-博愛,0039003800320042,7,679,-672,1.08,4,sell
