date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/09,0050,凱基-台北,9268,7335,2579,4756,6.35,1,buy
1/09,0050,元大證券,9800,9297,16575,-7278,9.72,1,sell
1/09,0050,元大-新竹,9816,1705,42,1663,2.22,2,buy
1/09,0050,中國信託,6160,2168,5167,-2999,4.01,2,sell
1/09,0050,統一,5850,2043,491,1552,2.07,3,buy
1/09,0050,摩根大通,8440,0,1259,-1259,1.68,3,sell
1/09,0050,華南永昌,9300,1414,108,1306,1.74,4,buy
1/09,0050,法銀巴黎,8900,0,1171,-1171,1.56,4,sell
1/09,0050,新光,8560,1417,485,932,1.24,5,buy
1/09,0050,合庫證券,1020,77,832,-755,1.01,5,sell
1/09,0050,國泰證券,8880,937,26,911,1.22,6,buy
1/09,0050,台灣摩根士丹利,1470,0,636,-636,0.85,6,sell
1/09,0050,第一金,5380,769,12,757,1.01,7,buy
1/09,0050,元富,5920,364,981,-617,0.82,7,sell
1/09,0050,新加坡商瑞銀,1650,2244,1703,541,0.72,8,buy
1/09,0050,元富-虎尾,003500390032004e,28,638,-610,0.81,8,sell
1/09,0050,元富-城東,0035003900320072,396,61,335,0.45,9,buy
1/09,0050,元大-文心興安,9854,34,426,-392,0.52,9,sell
1/09,0050,國泰-敦南,8888,2740,2423,317,0.42,10,buy
1/09,0050,國泰-桃園,8885,355,734,-379,0.51,10,sell
1/09,0050,臺銀,1040,597,302,295,0.39,11,buy
1/09,0050,凱基-大直,9218,15,319,-304,0.41,11,sell
1/09,0050,元大-永和,9891,323,44,279,0.37,12,buy
1/09,0050,國泰-館前,0038003800380041,273,553,-280,0.37,12,sell
1/09,0050,華南永昌-虎尾,9377,283,17,266,0.36,13,buy
1/09,0050,富邦-內湖,9627,81,308,-227,0.3,13,sell
1/09,0050,元大-東泰,9817,331,84,247,0.33,14,buy
1/09,0050,永豐金-苓雅,0039004100390061,31,256,-225,0.3,14,sell
1/09,0050,國泰-台南,8884,354,116,238,0.32,15,buy
1/09,0050,第一金-光復,0035003300380043,28,227,-199,0.27,15,sell
1/09,0051,元大證券,9800,42,17,25,27.78,1,buy
1/09,0051,永豐金證券,0039004100300030,1,39,-38,42.22,1,sell
1/09,0051,富邦-台北,9623,3,0,3,3.33,2,buy
1/09,0051,國泰-館前,0038003800380041,0,5,-5,5.56,2,sell
1/09,0051,玉山-大里,003800380034004a,3,0,3,3.33,3,buy
1/09,0051,美好-富順,003500320036004b,0,3,-3,3.33,3,sell
1/09,0051,國泰-台中,8882,6,3,3,3.33,4,buy
1/09,0051,富邦-高雄,9659,0,3,-3,3.33,4,sell
1/09,0051,新光-新竹,8563,2,0,2,2.22,5,buy
1/09,0051,元大-台南,9896,0,3,-3,3.33,5,sell
1/09,0051,兆豐證券,7000,2,0,2,2.22,6,buy
1/09,0051,國泰-松江,8883,0,2,-2,2.22,6,sell
1/09,0051,凱基-湖口,003900320030004e,2,0,2,2.22,7,buy
1/09,0051,元大-新竹經國,9859,0,2,-2,2.22,7,sell
1/09,0051,凱基-台北,9268,2,0,2,2.22,8,buy
1/09,0051,中國信託-文心,6164,0,1,-1,1.11,8,sell
1/09,0051,元大-桃園,0039003800380042,2,0,2,2.22,9,buy
1/09,0051,彰銀-台中,1233,0,1,-1,1.11,9,sell
1/09,0051,國泰-敦南,8888,2,0,2,2.22,10,buy
1/09,0051,玉山-景美,8849,0,1,-1,1.11,10,sell
1/09,0051,中國信託,6160,1,0,1,1.11,11,buy
1/09,0051,華南永昌-高雄,9303,0,1,-1,1.11,11,sell
1/09,0051,國泰證券,8880,1,0,1,1.11,12,buy
1/09,0051,元大-博愛,0039003800320042,0,1,-1,1.11,12,sell
1/09,0051,玉山-桃園,0038003800340046,1,0,1,1.11,13,buy
1/09,0051,國泰-板橋,003800380038004b,0,1,-1,1.11,13,sell
1/09,0051,永豐金-竹科,0039004100390058,1,0,1,1.11,14,buy
1/09,0051,國泰-台南,8884,0,1,-1,1.11,14,sell
